red,1999,43.33
DOM PERIGNON,1999,31.87
champange, 1999, 211.21
red,2000,53.33
DOM PERIGNON,2000,331.87
champange, 2000, 211.21
red,2001,63.33
DOM PERIGNON,2001,41.87
champange, 2001, 211.21
red,2002,73.33
DOM PERIGNON,2002,41.87
champange, 2002, 298.21
red,2003,133.33
DOM PERIGNON,2003,63.87
champange, 2003, 212.21
red,2004,33.33
DOM PERIGNON,2004,81.87
champange, 2004, 211.21
red,2005,23.33
DOM PERIGNON,2005,79.87
champange, 2005, 24.21
red,2006,83.33
DOM PERIGNON,2006,53.87
champange, 2006, 66.21
red,2007,92.33
DOM PERIGNON,2007,88.87
champange, 2007, 121.21

